Account Code,Section,Category,Subcategory,Line Item,Vendor / Source,Cost Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Total,% of Revenue,Notes
4150,Revenue,Beverage,Coffee,Coffee & Espresso Sales,Bar,Variable,6966.43,6685.46,7461.87,7794.09,7997.74,8604.50,8544.36,9108.92,8174.26,7900.06,7967.95,8648.22,95853.86,1.48%,
4210,Revenue,Other,Dessert,Dessert & Pastry Sales,Pastry,Variable,9665.53,9491.29,9703.68,10678.93,11059.79,12250.18,12478.02,11749.10,10887.52,10623.98,10918.13,12694.56,132200.71,2.04%,
4310,Revenue,Other,Merch,Merchandise & Retail Sales,Retail,Variable,2542.94,2441.55,2745.79,2969.34,3049.28,3223.43,3464.23,3342.08,2960.47,2890.01,2942.70,3287.94,35859.76,0.55%,
4320,Revenue,Other,Gift Cards,Gift Card Breakage Income,Finance,Variable,1262.77,1258.41,1339.05,1425.22,1508.38,1653.53,1629.99,1704.80,1530.40,1393.44,1485.55,1703.72,17895.26,0.28%,Net breakage recognized
4400,Revenue,Other,Misc,Other Operating Income,Misc,Variable,1666.79,1617.11,1888.37,1954.85,2078.09,2231.50,2276.14,2147.12,1919.51,1913.35,2010.77,2235.41,23939.01,0.37%,"Vending, ATM, etc."
4910,Contra-Revenue,Discounts,Comps,Comps & Voids,Mgmt,Variable,-6948.18,-6756.89,-7581.89,-7525.42,-8265.68,-8615.08,-9143.05,-8629.53,-7737.26,-7664.23,-8041.99,-8806.46,-95715.66,-1.48%,Manager comps & voided items
4920,Contra-Revenue,Discounts,Promotions,Promotional Discounts & Coupons,Marketing,Variable,-5014.93,-5167.60,-5449.47,-5999.98,-6273.09,-6310.13,-6930.66,-6782.51,-6173.67,-5968.78,-6238.73,-6544.47,-72854.02,-1.13%,
4930,Contra-Revenue,Discounts,Loyalty,Loyalty Reward Redemptions,Marketing,Variable,-3407.65,-3255.92,-3620.69,-3750.34,-4124.96,-4533.05,-4359.52,-4503.37,-3952.66,-3824.23,-4194.32,-4660.31,-48187.02,-0.74%,
4940,Contra-Revenue,Discounts,Employee,Employee Meal Discounts,HR,Variable,-2570.09,-2542.84,-2661.60,-2868.28,-3241.11,-3293.46,-3343.48,-3367.99,-2869.80,-2905.39,-3035.40,-3456.85,-36156.29,-0.56%,
5010,COGS,Food,Protein,Beef & Veal,US Foods,Variable,17685.34,18415.49,18798.88,20200.13,22369.78,23584.19,23179.41,22755.93,21803.97,20093.09,21729.75,24120.69,254736.65,3.94%,
5012,COGS,Food,Protein,Poultry,US Foods,Variable,9727.94,9627.52,10493.41,11545.44,11671.55,12740.23,12484.77,12532.13,11541.50,10866.87,11442.05,13124.41,137797.82,2.13%,
5014,COGS,Food,Protein,Pork & Charcuterie,Local Butcher,Variable,6079.10,6127.45,7002.00,7457.29,7422.60,7866.16,8043.31,8405.69,7542.02,7314.84,7387.46,8044.03,88691.95,1.37%,
5016,COGS,Food,Protein,Fresh Fish,Samuels Seafood,Variable,12206.77,11801.92,12832.44,14076.39,14694.84,14608.50,15876.57,15099.23,14005.50,13880.94,13688.74,15141.39,167913.23,2.60%,
5018,COGS,Food,Protein,Shellfish,Samuels Seafood,Variable,7451.24,7546.17,8079.94,8840.07,9556.25,9606.67,10126.50,9741.98,8937.25,8958.46,9377.00,9778.66,108000.19,1.67%,
5020,COGS,Food,Produce,Vegetables,Baldor,Variable,9036.24,8721.74,9339.87,10585.17,11222.26,11407.64,12069.03,11783.33,10510.74,9852.49,10416.92,12312.38,127257.81,1.97%,
5022,COGS,Food,Produce,Fruit & Berries,Baldor,Variable,5053.80,4799.19,5377.35,5615.53,5808.92,6075.19,6277.87,6520.43,5827.42,5681.12,5991.72,6283.40,69311.94,1.07%,
5024,COGS,Food,Produce,Herbs & Microgreens,Local Farm,Variable,1713.40,1653.51,1912.33,2053.62,2118.72,2257.95,2214.10,2334.30,2092.36,2047.20,2125.28,2367.45,24890.22,0.38%,
5030,COGS,Food,Dairy,Cheese,Murray's,Variable,5382.27,5568.28,5904.97,6595.41,6996.24,7364.80,7467.62,7086.70,6655.35,6112.76,6833.47,7562.43,79530.30,1.23%,
5032,COGS,Food,Dairy,"Milk, Cream & Butter",Dairy Co-op,Variable,4103.05,4202.45,4474.73,4707.23,5244.36,5250.30,5256.61,5283.10,4812.30,4870.91,5162.82,5416.22,58784.08,0.91%,
5034,COGS,Food,Dairy,Eggs,Dairy Co-op,Variable,2475.51,2371.69,2719.37,2797.44,3093.61,3034.57,3307.80,3078.13,2951.60,2709.09,2812.26,3199.46,34550.53,0.53%,
5040,COGS,Food,Dry Goods,"Flour, Grains & Pasta",Sysco,Variable,3560.79,3364.62,3772.61,3988.43,4230.21,4500.14,4464.69,4588.78,3904.02,4078.42,4160.20,4675.37,49288.28,0.76%,
5042,COGS,Food,Dry Goods,Rice & Legumes,Sysco,Variable,1425.82,1384.87,1480.08,1539.08,1730.21,1764.79,1794.50,1855.62,1655.04,1552.45,1633.66,1824.42,19640.54,0.30%,
5044,COGS,Food,Dry Goods,Oils & Vinegars,Sysco,Variable,2081.73,2015.82,2177.58,2375.66,2651.90,2721.70,2820.48,2733.06,2400.82,2375.56,2389.00,2709.83,29453.14,0.46%,
5046,COGS,Food,Dry Goods,Spices & Seasonings,Spice House,Variable,1738.62,1718.70,1893.56,1986.82,2124.83,2185.14,2272.14,2329.12,2081.20,1919.96,2004.83,2300.20,24555.12,0.38%,
5048,COGS,Food,Dry Goods,Sauces & Condiments,Sysco,Variable,1590.32,1516.73,1726.26,1829.18,1947.80,1968.39,2000.00,1953.75,1792.41,1771.33,1918.56,1996.96,22011.69,0.34%,
5050,COGS,Food,Bakery,Bread & Baked Goods,Local Bakery,Variable,2778.34,2760.79,2919.50,3237.91,3414.00,3504.89,3688.72,3467.89,3318.20,3223.47,3213.52,3653.76,39180.99,0.61%,
5052,COGS,Food,Bakery,Pastry & Dessert Ingredients,Sysco,Variable,2043.71,2124.41,2247.72,2304.85,2510.26,2758.42,2722.92,2773.33,2472.37,2458.84,2507.46,2856.08,29780.37,0.46%,
5060,COGS,Food,Frozen,Frozen Foods,Sysco,Variable,1442.54,1378.53,1522.58,1594.52,1752.93,1795.94,1879.51,1840.55,1623.15,1547.26,1625.43,1858.13,19861.07,0.31%,
5070,COGS,Food,Specialty,Imported & Specialty Items,Gourmet Imports,Variable,2499.85,2394.95,2645.13,2739.05,2887.57,3077.24,3129.61,3113.80,2855.42,2681.02,2840.79,3266.20,34130.63,0.53%,
5080,COGS,Food,Waste,Food Spoilage & Waste,Internal,Variable,3199.15,2966.82,3341.85,3598.54,3816.59,3931.05,4072.46,4193.61,3684.12,3605.24,3839.22,4223.11,44471.76,0.69%,Tracked shrink/spoilage
5210,COGS,Beverage,Beer,Beer (Cost),Distributor,Variable,5541.44,5248.84,5914.34,6504.95,7024.23,7415.96,7239.27,7364.41,6529.79,6362.74,6487.54,7186.52,78820.03,1.22%,
5220,COGS,Beverage,Wine,Wine (Cost),Distributor,Variable,7537.64,7121.50,7998.87,8757.45,9179.60,9431.23,9841.37,9487.70,8896.08,8222.23,8909.93,10006.49,105390.09,1.63%,
5230,COGS,Beverage,Liquor,Liquor (Cost),Distributor,Variable,6392.68,6563.63,6900.42,7547.91,7820.06,8415.99,8453.10,8456.65,7887.07,7421.39,8039.00,8961.76,92859.66,1.44%,
5240,COGS,Beverage,N/A Bev,Soda & Fountain (Cost),Coca-Cola,Variable,2056.54,1980.78,2158.20,2398.42,2664.10,2651.42,2765.25,2768.96,2469.29,2414.61,2577.97,2690.52,29596.06,0.46%,
5250,COGS,Beverage,Coffee,Coffee & Tea (Cost),Roaster,Variable,1681.34,1660.28,1814.48,2019.41,2145.64,2185.91,2313.36,2304.88,1979.03,1988.98,2114.85,2226.51,24434.67,0.38%,
5260,COGS,Beverage,Mixers,"Juices, Mixers & Garnishes",Distributor,Variable,1434.48,1417.01,1449.42,1533.43,1682.07,1814.47,1888.39,1790.43,1654.42,1524.14,1684.27,1856.59,19729.12,0.31%,
5410,COGS,Packaging,To-Go,To-Go Containers,WebstaurantStore,Variable,3046.94,3140.99,3461.09,3615.13,3725.99,4181.27,4191.32,4012.40,3638.54,3512.96,3734.48,4082.71,44343.82,0.69%,
5420,COGS,Packaging,Cups,"Cups, Lids & Straws",WebstaurantStore,Variable,1617.60,1576.62,1630.25,1859.26,1942.08,2065.65,2083.31,2020.55,1863.97,1840.95,1832.02,2118.60,22450.86,0.35%,
5430,COGS,Packaging,Paper,Napkins & Paper Goods,WebstaurantStore,Variable,1052.26,1023.31,1116.46,1217.54,1257.09,1379.58,1402.36,1309.24,1257.08,1159.00,1240.72,1390.58,14805.22,0.23%,
5440,COGS,Packaging,Cutlery,Disposable Cutlery,WebstaurantStore,Variable,692.60,657.35,769.17,776.67,834.22,915.86,899.18,930.14,826.31,774.71,796.98,951.88,9825.07,0.15%,
5450,COGS,Packaging,Bags,Bags & Carry-Out Supplies,WebstaurantStore,Variable,845.23,868.92,934.35,1016.78,1083.63,1131.23,1137.68,1154.79,983.43,964.07,1052.77,1130.87,12303.75,0.19%,
6010,Labor,FOH,Wages,Server Wages,Payroll,Variable,23274.97,22827.62,23925.75,24462.66,25976.93,25741.31,26769.57,25737.82,24362.52,23742.48,24487.00,25660.35,296968.98,4.59%,
6012,Labor,FOH,Wages,Bartender Wages,Payroll,Variable,9514.03,9582.11,9544.84,9867.06,10438.36,10897.80,11219.07,10777.43,10020.65,9724.33,10047.21,10621.07,122253.96,1.89%,
6014,Labor,FOH,Wages,Host / Maitre d' Wages,Payroll,Semi-Variable,6354.92,6201.57,6750.02,6815.77,7458.10,7391.42,7547.16,7173.82,7217.57,6901.14,7291.86,7508.96,84612.31,1.31%,
6016,Labor,FOH,Wages,Busser & Food Runner Wages,Payroll,Variable,7689.16,7589.20,7754.69,7908.70,8791.54,8682.68,9006.96,8670.02,8003.30,8246.37,8069.29,8574.37,98986.28,1.53%,
6020,Labor,BOH,Wages,Line Cook Wages,Payroll,Semi-Variable,20856.72,20208.06,22265.18,21411.16,23346.48,23617.36,24190.19,23012.91,22347.72,21887.23,22426.35,24435.76,270005.12,4.17%,
6022,Labor,BOH,Wages,Prep Cook Wages,Payroll,Semi-Variable,11091.06,10394.02,11122.06,11457.77,11983.85,12474.89,11873.67,11821.02,11619.64,10990.98,11284.29,11799.76,137913.01,2.13%,
6024,Labor,BOH,Wages,Dishwasher Wages,Payroll,Semi-Variable,6832.03,7011.07,7398.71,7445.65,7670.28,8162.02,8236.88,8037.50,7762.92,7789.52,7902.29,8224.81,92473.68,1.43%,
6026,Labor,BOH,Salary,Sous Chef Salary,Payroll,Fixed,4537.77,4635.42,4453.17,4495.97,4532.92,4626.37,4597.06,4326.39,4360.27,4411.05,4569.23,4504.81,54050.43,0.84%,
6028,Labor,BOH,Salary,Executive Chef Salary,Payroll,Fixed,5767.46,5690.36,5955.22,5960.41,6074.43,5866.89,5863.76,5669.75,5650.71,5834.76,5783.28,5749.50,69866.53,1.08%,
6030,Labor,Mgmt,Salary,General Manager Salary,Payroll,Fixed,4952.61,5309.20,5257.61,5150.80,5304.64,5324.63,5190.57,5025.59,4931.68,5224.97,5107.92,5182.06,61962.28,0.96%,
6032,Labor,Mgmt,Salary,Assistant Manager Salary,Payroll,Fixed,3637.16,3430.31,3544.03,3557.96,3517.67,3404.90,3477.18,3473.06,3567.91,3620.74,3472.07,3574.54,42277.53,0.65%,
6034,Labor,Mgmt,Salary,Shift Supervisor Wages,Payroll,Semi-Variable,3788.72,3948.56,4077.57,4117.99,4230.60,4284.56,4328.28,4534.09,4111.05,4085.69,4347.45,4466.61,50321.17,0.78%,
6040,Labor,Burden,Taxes,Payroll Taxes (FICA/Medicare),IRS,Semi-Variable,10609.87,10388.05,10640.65,11128.55,11888.13,12051.83,12295.85,11704.40,11410.92,11579.46,11422.53,12293.84,137414.08,2.12%,
6042,Labor,Burden,Taxes,Federal & State Unemployment (FUTA/SUTA),State,Semi-Variable,1724.90,1826.34,1851.89,1853.54,1906.11,2015.44,2034.78,1951.16,1987.37,1945.72,1925.15,1973.53,22995.93,0.36%,
6044,Labor,Burden,Insurance,Workers' Compensation Insurance,Insurer,Semi-Variable,3956.42,3812.26,4046.71,4104.47,4168.99,4465.55,4559.02,4280.13,4159.80,4042.92,4325.27,4413.88,50335.42,0.78%,
6046,Labor,Burden,Benefits,Health Insurance & Benefits,Provider,Fixed,7253.64,7245.02,6913.98,7203.33,6992.10,7284.57,7044.36,7220.53,6917.70,6926.55,7088.97,7320.98,85411.73,1.32%,
6048,Labor,Burden,Benefits,401(k) Match,Provider,Fixed,1918.41,1866.02,1925.93,1896.21,1927.97,1926.67,1913.14,1892.63,1872.18,1950.34,1931.03,1879.07,22899.60,0.35%,
6050,Labor,Burden,Benefits,Paid Time Off Accrual,Internal,Semi-Variable,2120.99,1978.07,2183.81,2244.79,2343.24,2320.47,2394.99,2413.30,2316.55,2196.60,2169.51,2375.58,27057.90,0.42%,
6060,Labor,Burden,Other,Staff Meals,Internal,Variable,2199.16,2195.71,2405.66,2476.19,2671.32,2783.10,2894.11,2797.82,2570.28,2394.58,2583.30,2976.58,30947.81,0.48%,
6062,Labor,Burden,Other,Recruiting & Hiring,Indeed/Agencies,Semi-Variable,1170.53,1191.24,1238.60,1297.53,1343.27,1376.65,1337.91,1324.81,1297.02,1281.73,1325.76,1306.84,15491.89,0.24%,
6064,Labor,Burden,Other,Training & Certifications,Internal,Semi-Variable,858.68,889.10,948.86,984.18,999.18,998.34,980.61,1019.19,984.53,937.51,980.54,1050.77,11631.49,0.18%,
6066,Labor,Burden,Other,Payroll Processing Fees,Gusto,Fixed,740.11,786.20,755.30,760.31,746.22,769.91,772.05,785.97,747.72,742.13,790.78,775.35,9172.05,0.14%,
7010,Occupancy,Rent,Base,Base Rent,Landlord,Fixed,29377.99,30990.79,29143.48,29906.76,29409.55,29412.78,28822.55,30731.12,30962.90,30426.27,29179.14,29860.15,358223.48,5.54%,
7012,Occupancy,Rent,Percentage,Percentage Rent,Landlord,Variable,3369.42,3355.58,3690.15,3864.06,4082.02,4484.18,4336.07,4362.69,3961.61,3767.04,4069.56,4509.47,47851.85,0.74%,% of sales over breakpoint
7014,Occupancy,Rent,CAM,Common Area Maintenance (CAM),Landlord,Fixed,4677.37,4426.28,4672.06,4556.96,4418.81,4523.73,4566.89,4588.08,4337.66,4538.31,4498.82,4645.50,54450.47,0.84%,
7020,Occupancy,Taxes,Property,Real Estate / Property Taxes,County,Fixed,5897.37,6143.45,6051.39,5929.11,6065.58,6058.03,6085.33,6106.05,6076.41,6162.40,6061.56,6193.63,72830.31,1.13%,
7030,Occupancy,Insurance,Property,Building & Property Insurance,Insurer,Fixed,3035.12,2954.14,2985.80,3019.10,3055.77,2901.63,2950.83,3059.40,2922.15,2911.72,3009.46,3113.16,35918.28,0.56%,
7032,Occupancy,Insurance,Liability,General Liability Insurance,Insurer,Fixed,2506.17,2582.70,2566.09,2451.39,2564.94,2496.37,2561.30,2549.31,2467.74,2423.03,2592.58,2428.15,30189.77,0.47%,
7034,Occupancy,Insurance,Liquor,Liquor Liability Insurance,Insurer,Fixed,2074.64,2057.62,2035.87,2076.79,2074.76,2048.73,1978.52,2046.51,1922.23,2005.85,1992.77,2027.65,24341.94,0.38%,
7210,Utilities,Energy,Electric,Electricity,Utility Co,Semi-Variable,7513.76,7381.83,7846.90,8165.43,7909.45,8185.54,8122.16,8661.61,8006.08,8108.65,7866.92,8186.24,95954.57,1.48%,
7212,Utilities,Energy,Gas,Natural Gas,Utility Co,Semi-Variable,4277.02,4259.46,4234.80,4404.23,4460.62,4872.50,4674.85,4724.07,4336.99,4551.23,4394.11,4753.79,53943.67,0.83%,
7214,Utilities,Water,Water/Sewer,Water & Sewer,City,Semi-Variable,2347.70,2335.89,2475.78,2448.93,2601.11,2541.40,2620.46,2541.79,2487.55,2434.45,2605.29,2551.73,29992.08,0.46%,
7220,Utilities,Waste,Trash,Trash & Waste Removal,Waste Mgmt,Fixed,1781.36,1791.85,1864.88,1851.18,1742.31,1826.74,1806.40,1868.81,1779.65,1785.33,1755.33,1745.59,21599.43,0.33%,
7222,Utilities,Waste,Grease,Grease Trap & Used-Oil Service,Mahoney,Fixed,925.06,896.74,911.72,910.20,906.99,865.54,920.65,881.54,873.07,904.65,868.94,919.09,10784.19,0.17%,
7230,Utilities,Telecom,Internet,Internet & Wi-Fi,Comcast,Fixed,585.94,586.37,617.75,591.77,583.08,619.23,576.14,617.20,582.95,582.24,588.03,584.38,7115.08,0.11%,
7232,Utilities,Telecom,Phone,Phone / VoIP,RingCentral,Fixed,405.15,384.82,384.48,409.28,391.61,394.36,389.58,385.68,407.73,400.83,407.86,399.24,4760.62,0.07%,
7234,Utilities,Telecom,TV,Cable / Satellite (Sports),DirecTV,Fixed,817.79,800.85,774.98,800.25,828.51,770.78,818.13,823.49,801.37,797.31,829.70,771.89,9635.05,0.15%,
7240,Utilities,Licensing,Music,Music Licensing (ASCAP/BMI/SESAC),PRO,Fixed,499.16,496.06,507.44,499.61,516.39,482.94,483.23,504.33,482.63,491.00,505.32,501.93,5970.04,0.09%,
7410,Marketing,Digital,Paid Ads,Google & Meta Ads,Agency,Semi-Variable,4567.45,4763.98,4792.68,4911.50,5146.35,5059.66,5362.04,5400.30,5039.46,5010.50,5117.77,5180.78,60352.47,0.93%,
7412,Marketing,Digital,Social,Social Media Management,Agency,Fixed,2988.37,2934.84,2961.34,2988.84,2979.84,2902.82,2982.42,3039.63,2969.83,2916.63,3101.52,2896.11,35662.19,0.55%,
7414,Marketing,Digital,Email/SMS,Email & SMS Marketing,Klaviyo,Fixed,821.23,773.97,774.18,815.28,819.95,803.61,805.53,803.94,789.10,775.82,790.63,810.58,9583.82,0.15%,
7416,Marketing,Digital,Reviews,Review & Reputation Mgmt,Yelp Ads,Semi-Variable,1889.99,1887.04,1946.22,2045.79,2057.72,2066.09,2123.90,2052.55,2016.71,1918.70,1948.52,2179.25,24132.48,0.37%,
7420,Marketing,Brand,PR,Public Relations & Influencers,Agency,Semi-Variable,2291.58,2339.46,2404.67,2525.46,2622.11,2712.86,2705.64,2649.89,2518.09,2359.53,2600.78,2720.69,30450.76,0.47%,
7422,Marketing,Brand,Print,Printed Menus & Collateral,Printer,Semi-Variable,909.21,893.10,971.70,970.88,1007.58,1004.15,1086.60,1055.99,987.96,952.89,1016.50,1020.52,11877.08,0.18%,
7424,Marketing,Brand,Photo,Photography & Videography,Freelance,Semi-Variable,708.52,671.73,712.55,730.05,757.54,797.99,809.06,792.07,722.10,709.41,733.66,802.74,8947.42,0.14%,
7430,Marketing,Local,Sponsorship,Local Sponsorships & Events,Various,Semi-Variable,1174.18,1124.77,1210.73,1231.02,1269.91,1283.10,1346.12,1272.45,1237.86,1204.98,1275.18,1324.00,14954.30,0.23%,
7440,Marketing,Loyalty,Program,Loyalty Program Platform & Costs,Provider,Fixed,1013.37,963.63,991.62,1007.95,960.61,984.11,976.90,970.98,980.44,986.25,960.62,1019.76,11816.24,0.18%,
7610,Technology,POS,Subscription,POS System Subscription,Toast,Fixed,1461.08,1485.62,1524.44,1500.03,1540.00,1536.74,1448.65,1543.41,1445.08,1442.25,1550.54,1543.45,18021.29,0.28%,
7612,Technology,Ordering,Online,Online Ordering Platform Fees,Toast,Variable,1544.51,1508.31,1669.84,1737.90,1816.68,1888.37,1971.31,2029.25,1801.99,1777.56,1881.97,1950.72,21578.41,0.33%,
7614,Technology,Reservations,Booking,Reservation System,Resy,Fixed,822.05,783.57,805.69,801.53,793.33,787.86,789.73,789.32,778.76,800.67,775.30,800.64,9528.45,0.15%,
7616,Technology,Inventory,Software,Inventory Management Software,MarketMan,Fixed,619.48,592.77,610.91,615.31,615.12,587.34,583.03,585.47,604.92,612.49,607.46,584.50,7218.80,0.11%,
7618,Technology,Accounting,Software,Accounting Software,QuickBooks,Fixed,306.55,299.86,306.11,306.24,298.77,310.18,301.55,303.25,302.99,308.74,303.05,291.62,3638.91,0.06%,
7620,Technology,Scheduling,Software,Scheduling & Labor Software,7shifts,Fixed,386.19,398.15,393.69,392.79,385.80,400.23,393.93,398.46,385.82,410.61,386.46,411.66,4743.79,0.07%,
7622,Technology,KDS,Software,Kitchen Display System,Toast,Fixed,308.53,302.76,300.17,299.11,301.30,307.00,309.50,298.79,307.44,303.64,295.72,299.42,3633.38,0.06%,
7624,Technology,Gift Cards,Platform,Gift Card Platform,Provider,Fixed,194.41,192.99,193.66,206.39,197.50,203.43,200.07,194.76,195.96,199.00,199.03,200.36,2377.56,0.04%,
7626,Technology,Security,Cameras,Security & Camera Monitoring,Verkada,Fixed,486.35,494.91,491.32,496.35,493.53,503.92,511.57,505.89,482.64,483.78,507.14,491.37,5948.77,0.09%,
7810,Fees,Processing,Cards,Credit Card Processing Fees,Stripe/Toast,Variable,12154.22,11808.89,13188.79,14012.94,14384.17,15373.82,15104.34,15226.41,14403.79,13681.62,14039.58,15808.55,169187.12,2.62%,~2.6% of card sales
7820,Fees,Delivery,Commission,3rd-Party Delivery Commissions,DoorDash/UberEats,Variable,13506.50,12551.62,13821.95,15217.05,16331.41,16918.06,17441.62,17164.37,15398.63,14749.42,15657.83,17041.05,185799.51,2.87%,~30% of 3rd-party sales
7830,Fees,Banking,Service,Bank Service Charges,Chase,Fixed,395.58,395.60,389.77,390.85,414.33,399.56,391.25,388.40,386.47,411.02,387.24,408.67,4758.74,0.07%,
7840,Fees,Banking,Gift Card,Gift Card Processing Fees,Provider,Variable,262.73,257.59,263.60,287.76,319.05,317.61,329.94,321.32,305.41,294.85,310.97,327.20,3598.03,0.06%,
8010,Supplies,Cleaning,Chemicals,Cleaning Supplies & Chemicals,Ecolab,Variable,2545.92,2481.35,2775.81,2854.48,3110.02,3216.42,3398.49,3288.99,2983.30,2841.96,3109.64,3353.65,35960.03,0.56%,
8012,Supplies,Smallwares,Tabletop,Smallwares (Plates/Glass/Flatware),WebstaurantStore,Semi-Variable,2378.21,2267.10,2476.00,2560.40,2543.83,2568.01,2613.50,2631.80,2582.54,2514.65,2575.06,2574.14,30285.24,0.47%,Replacement & breakage
8014,Supplies,Kitchen,Tools,Kitchen Tools & Utensils,WebstaurantStore,Semi-Variable,1361.88,1390.32,1477.23,1485.38,1482.32,1611.58,1627.53,1548.53,1525.25,1444.74,1557.60,1545.62,18057.98,0.28%,
8016,Supplies,Linens,Rental,Linen & Uniform Rental,Cintas,Fixed,1990.00,2071.43,1955.53,1992.18,1975.93,1924.27,1928.52,2000.32,1957.72,2079.12,1979.99,1924.51,23779.52,0.37%,
8018,Supplies,Office,General,Office & Admin Supplies,Staples,Fixed,620.68,616.28,607.20,613.99,582.60,589.77,615.83,609.41,582.66,609.87,597.53,576.25,7222.07,0.11%,
8020,Supplies,Restroom,Consumables,Restroom & Sanitation Supplies,Cintas,Variable,741.76,735.11,843.16,878.13,954.23,984.00,968.57,973.95,878.36,834.46,904.57,1032.31,10728.61,0.17%,
8022,Supplies,Safety,First Aid,First Aid & Safety Supplies,Cintas,Fixed,298.97,290.66,309.72,302.32,288.39,300.37,293.81,291.45,298.30,302.76,293.77,298.00,3568.52,0.06%,
8210,R&M,Equipment,Kitchen,Kitchen Equipment Repair,Service Co,Semi-Variable,2346.57,2215.36,2481.27,2379.63,2556.97,2615.17,2741.50,2637.41,2467.85,2446.62,2541.75,2752.84,30182.94,0.47%,
8212,R&M,HVAC,Service,HVAC Maintenance & Repair,Service Co,Semi-Variable,1362.28,1321.59,1467.40,1460.56,1559.52,1584.27,1617.44,1605.27,1473.79,1417.85,1514.23,1630.39,18014.59,0.28%,
8214,R&M,Refrigeration,Service,Refrigeration Repair,Service Co,Semi-Variable,1127.96,1171.25,1191.87,1251.70,1289.27,1339.38,1273.11,1342.03,1240.62,1205.98,1211.35,1293.55,14938.07,0.23%,
8216,R&M,Plumbing,Service,Plumbing Repairs,Service Co,Semi-Variable,892.49,948.30,957.38,1024.53,1024.17,1024.82,1076.76,1024.46,984.47,1003.03,1035.22,1046.07,12041.70,0.19%,
8218,R&M,Electrical,Service,Electrical Repairs,Service Co,Semi-Variable,673.96,680.14,739.49,753.86,789.66,776.98,821.53,787.57,746.75,760.72,755.50,814.41,9100.57,0.14%,
8220,R&M,Pest,Service,Pest Control,Orkin,Fixed,509.08,483.16,504.10,512.89,501.82,492.85,483.20,506.44,492.26,504.10,497.04,507.59,5994.53,0.09%,
8222,R&M,Hood,Cleaning,Hood & Exhaust Cleaning,Service Co,Fixed,592.87,578.03,617.76,592.92,623.91,589.18,623.04,621.50,579.60,606.60,593.44,614.45,7233.30,0.11%,
8224,R&M,Fire,Inspection,Fire Suppression Inspection,Service Co,Fixed,304.31,310.87,291.43,302.58,306.75,288.84,289.61,306.68,296.79,297.19,301.61,302.52,3599.18,0.06%,
8226,R&M,Grounds,Landscaping,Landscaping / Snow Removal,Service Co,Semi-Variable,751.77,759.55,757.13,805.36,821.36,838.33,837.41,850.39,780.74,760.52,819.80,848.20,9630.56,0.15%,
8228,R&M,Building,General,General Building Repairs,Various,Semi-Variable,1377.11,1381.58,1406.96,1450.56,1524.41,1630.45,1555.90,1628.12,1492.75,1427.06,1551.26,1584.39,18010.55,0.28%,
